《经济论》	色诺芬	最早提出“经济”概念
《赋税论》	威廉·配第	西方最早的赋税理论专著
《英国得自对外贸易的财富》	托马斯·孟	重商主义的重要著作
《休谟经济论文选》	大卫·休谟	货币数量论的早期范本
《经济表》	弗朗斯瓦·魁奈	首次图解的宏观经济学
《国民财富的性质和原因的研究》	亚当·斯密	创建了经济学科学体系
《道德情操论》	亚当·斯密	现代伦理学奠基之作
《人口原理》	托马斯·罗伯特·马尔萨斯	人口学奠基之作
《政治经济学概论》	让·巴蒂斯特·萨伊	供应学派的理论先导
《政治经济学及赋税原理》	大卫·李嘉图	经济学史的第二座高峰
《政治经济学新原理》	西蒙·德·西斯蒙第	首次系统论述经济危机
《孤立国》	约翰·海因里希·冯·杜能	第一部区位理论名著
《政治经济学的国民体系》	弗里德里希·李斯特	历史学派第一部理论专著
《政治经济学原理》	约翰·斯图亚特·穆勒	古典经济学的“终结篇”
《经济和谐论》	克洛德·弗雷德里克·巴师夏	自由主义经济学的旗帜
《国民经济学原理》	卡尔·门格尔	奥地利学派的理论基石
《纯粹经济学要义》	莱昂·瓦尔拉斯	般均衡理论的“发源地
《经济学原理》	阿尔弗雷德·马歇尔	现代西方经济学的“奠基石
《有闲阶级论》	托尔斯坦·凡勃伦	制度学派代表作
《经济发展理论》	约瑟夫·熊彼特	首提创新经济理论的开山之作
《福利经济学》	阿瑟·塞西尔·庇古	福利经济学诞生的标志
《区域贸易与国际贸易》	贝蒂·俄林	国际贸易理论的首个完整体系
《制度经济学》	约翰·罗杰斯·康芒斯	法经济学制度学派的经典
《就业、利息和货币通论》	约翰·梅纳德·凯恩斯	“一本拯救资本主义的名著”
《货币均衡论》	冈纳·缪尔达尔	宏观理论的经典之作
《价值与资本》	约翰·理查德·希克斯	宏观经济学首次微观化
《经济增长理论》	威廉·阿瑟·刘易斯	关于经济发展问题的首部巨著
《丰裕社会》	约翰·肯尼思·加尔布雷思	有别于经济学的“传统智慧”
《资本主义与自由》	米尔顿·弗里德曼	货币学派的经典
《贫穷的终结》	杰弗里·萨克斯	首倡“临床经济学”
《个人主义与经济秩序》	弗里德里希·冯·哈耶克	以经济自由为核心的经济哲学思想
《经济学》	保罗·安东尼·萨缪尔森	全球最畅销的经济学教科书
《增长理论：一个说明》	罗伯特·索洛	解释“经济为何会增长”最好的一本书
《企业市场与法律》	罗纳德·H.科斯	科斯一生的智慧都在这里
《对人进行投资》	西奥多·威廉·舒尔茨	开创人力资本理论
《产业组织》	乔治·约瑟夫·施蒂格勒	产业经济学的经典
《各国的经济增长》	西蒙·史密斯·库兹涅茨	经验统计学的典范
《财富与贫困》	乔治·吉尔德	里根革命的“理论依据”
《经济学》	约瑟夫·斯蒂格利茨	经济学教科书的第四座里程碑
《经济学原理》	格里高利·曼昆	创两项吉尼斯世界纪录的经济学教科书
《社会选择与个人价值》	肯尼斯·约瑟夫·阿罗	开创社会选择理论
《宪则经济学》	詹姆斯·M.布坎南	公共选择理论经典
《风险、不确定性与利润》	弗兰克·H.奈特	为信息经济学点亮了明灯
《歧视经济学》	加里·贝克尔	开创了歧视经济学
《伦理学与经济学》	阿马蒂亚·森	重新反思经济学的使命与价值
《经济增长理论》	阿瑟·刘易斯	第一部简明扼要地论述了经济发展问题的巨著
《通向奴役的道路》	弗里德里希·冯·哈耶克	自由主义宣言
《贫困与饥荒》	阿马蒂亚·森	引发人道主义共鸣的经济学著作
《经济学中的理性》	弗农·L.史密斯	开创了实验经济学
《家庭论》	加里·贝克尔	一个研究关于家庭理性选择的方法
《权力组织》	戴维·罗特科普夫	探索一种全新的世界秩序
《政府与市场》	维托·坦茨	第一部从历史变迁考察政府职能的文献
《二元经济论》	阿瑟·刘易斯	理解经济结构问题最好的著作
《选择与后果》	托马斯·谢林	以博弈论分析犯罪、恐怖主义的经典之作
《兜售繁荣》	保罗·克鲁格曼	经济问题与经济学派的争论
《萧条经济学的回归》	保罗·克鲁格曼	了解经济危机历史的好作品
《空间经济学》	保罗·克鲁格曼	开创了空间经济学
《选择的悖论》	埃里克·马斯金	六位顶级经济学家揭示社会选择的真相
《神经经济学：决策与大脑》	保罗·格莱姆齐	从神经科学研究经济行为的权威著作
《创新、竞争与平台经济》	让·梯若尔	信息时代的前沿经济思想
《动物精神》	乔治·阿克洛夫	关于经济理论新假设有趣结果的论文集
《思考，快与慢》	丹尼尔·卡尼曼	诺贝尔经济学家带你体验思维的终极之旅
《制度、制度变迁与经济绩效》	诺思	制度变迁理论的重要著作
《货币的祸害》	米尔顿·弗里德曼	一部具体而丰富的货币史
《为什么我也不是保守派》	詹姆斯·M.布坎南	还原自由主义的经典含义
《复杂经济学：经济思想的新框架》	阿瑟	“经济学进入复杂性时代”
